SKU,Tên sản phẩm,Thương hiệu,Danh mục,Đường dẫn
00045449,"Siro bổ sung canxi & vitamin D3, K2 cho cơ thể Canxi-D3-K2 Kingphar (6 vỉ x 5 ống x 5ml)",Kingphar,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-bo-sung-canxi-d3-k2-kingphar-6-x5-ong.html
00039499,Siro bổ sung canxi giúp xương răng chắc khỏe Canxi + D3K2 Hatro (120ml),Hatro,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-bo-sung-canxi-giup-xuong-rang-chac-khoe-canxi-d3-k2-hatro-120-ml.html
00040747,"Viên bổ sung canxi, khoáng chất giảm nguy cơ loãng xương Calcium Premium JpanWell (120 viên)",Jpanwell,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-giam-nguy-co-loang-xuong-calcium-premium-jpanwell-120-v.html
00502554,Viên uống bổ sung canxi giúp xương răng chắc khỏe Calci Nano Hải Thượng Vương (60 viên),Hải Thượng Vương,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-calci-nano-hai-thuong-vuong-60v-36815.html
00022705,Viên bổ sung canxi khoáng chất chắc xương khoẻ khớp Vitabiotics Osteocare (2 vỉ x 15 viên),Vitabiotics,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/osteocare-vitabiotics-2x15-23027.html
00021988,"Viên uống bổ sung Canxi và Vitamin D3, K2, giúp xương răng chắc khỏe Anica Ocavill (60 viên)",OCAVILL,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/anica-phytextra-60v-22332.html
00503275,"Viên uống bổ sung canxi, hỗ trợ giảm nguy cơ loãng xương Calci K-2 Pharma World (60 viên)",Pharma World,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-giam-nguy-co-loang-xuong-pharma-word-calci-k-2-60v-37580.html
00045955,"Viên uống bổ sung canxi, giúp tăng chiều cao cho trẻ NutriGrow Nutrimed (60 viên)",NUTRIMED,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-giup-xuong-chac-khoe-nutrigrow-nutrimed-60-v.html
00051575,"Viên uống bổ sung canxi, Vitamin D3, giúp xương răng chắc khoẻ Vitatree Kids Super Milky Calcium 330mg plus Vitamin D3 (Hộp 60 viên)",Vitatree,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-vitamin-d3-giup-xuong-rang-chac-khoe-vitatree-kids-super-milky-calcium-330-mg-plus-vitamin-d3-60-v.html
00039538,"Viên sủi bổ sung canxi, vitamin K2, vitamin D3 cho cơ thể Kudos Bone hương cam (20 viên)",KUDOS,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-sui-kudos-bone-health-calcium-d3-and-vitamin-k2-huong-cam-20-v.html
00051539,"Viên uống bổ sung canxi, Vitamin D3 và Vitamin K2 cho cơ thể, hỗ trợ xương chắc khoẻ CalciumElite Vitamins For Life (Hộp 60 viên)",Vitamins For Life,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-vitamin-d3-va-vitamin-k2-cho-co-the-ho-tro-xuong-chac-khoe-calciumelite-vitamins-for-life-60-v.html
00051048,Viên nhai bổ sung canxi và vitamin D3 giúp xương và răng chắc khỏe Nature's Way Kids Smart Bursts Calcium + Vitamin D3 (50 viên),Nature's way,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-va-vitamin-d3-cho-be-nature-s-way-kids-smart-bursts-calcium-vitamin-d3-50-v.html
00032445,Thuốc Calcium Corbiere Kids Extra Sanofi bổ sung canxi cho trẻ em (3 vỉ x 10 ống x 5ml),Sanofi,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcium-corbiere-kids-extra-sanofi-5ml-32569.html
00345335,"Viên uống hỗ trợ phòng chống loãng xương, bổ sung canxi giúp xương chắc khỏe Calci K2 Dao Nordic Health (60 viên)",DAO Nordic Health,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/calci-k2-vien-bo-sung-canxi-ngua-loang-xuong-7.html
00049744,"Viên uống Ostelin Calcium & Vitamin D3 Sanofi giúp tăng hấp thụ canxi, duy trì xương và răng chắc khỏe (130 viên)",OSTELIN,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ostelin-calcium-and-vitamin-d3-sanofi-130-v.html
00020655,"Viên uống bổ sung canxi, chống loãng xương Mega-Cal 1000 Vitamins For Life (60 viên)",Vitamins For Life,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/mega-cal-1000-60v-fda-21018.html
00010637,Sữa bổ sung dinh dưỡng đặc biệt cho người đái tháo đường Glucerna Abbott (380g),Abbott,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/sua-abbott-glucerna-400g-16384.html
00503640,Kem bôi phục hồi và dịu da La Roche-posay Cicaplast Baume B5+ 40ml,Laroche posay,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/duoc-my-pham/la-roche-posay-cicaplast-baume-b5-40-ml-kem-duong-lam-diu-phuc-hoi-lan-da-tre-em-va-tre-so-sinh.html
00050856,Sữa cân bằng dinh dưỡng Meiji Meibalance hương ngũ cốc (24 hộp x 125ml),Meiji,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/sua-meiji-meibalance-huong-ngu-coc-24-hop-x-125-ml.html
00051046,"Siro hỗ trợ hấp thu canxi, giúp xương, răng chắc khỏe Nature's Way Kids Smart Drops Vitamin D3+K2 (Hộp 11ml)",Nature's way,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-ho-tro-hap-thu-canxi-giup-xuong-rang-chac-khoe-nature-s-way-kids-smart-drops-vitamin-d3-k2-11-ml.html
00049742,"Viên uống Ostelin Calcium & Vitamin D3 Sanofi giúp tăng hấp thụ canxi, duy trì xương và răng chắc khỏe (30 viên)",OSTELIN,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ostelin-calcium-and-vitamin-d3-sanofi-30-v-1.html
00500012,Siro hỗ trợ hấp thu canxi Fitobimbi D3 + K2 (30ml),FITOBIMBI,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/fitobimbi-d3-k2-delap-30-ml.html
00053034,Thuốc Calci-D Usa-nic phòng ngừa và điều trị tình trạng thiếu hụt canxi và vitamin D (10 vỉ x 10 viên),Usa - Nic Pharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calci-d-usa-nic-10-x10.html
00047677,"Viên uống BesticalX Ergopharm bổ sung canxi, vitamin D3 và vitamin K2, hỗ trợ xương, răng (30 viên)",ERGOPHARMA,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/besticalx-ergo-30-v.html
00052151,"Viên uống bổ sung Canxi và Vitamin D3 giúp tăng cường hấp thu canxi, giúp xương chắc khoẻ Spring Leaf Liquid Calcium Plus Vitamin D3 (Lọ 60 viên)",SpringLeaf,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-va-vitamin-d3-giup-xuong-chac-khoe-spring-leaf-liquid-calcium-plus-vitamin-d3-60-v.html
00008206,Siro Zedcal Meyer bổ sung Canxi và thiếu hụt Vitamin D3 (200ml),Meyer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/zedcal-200ml-1690.html
00503172,Siro Polcalmex Polfarmex vị cam - phòng và điều trị thiếu canxi (150ml),Polfarmex,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/polcalmex-polfarmex-150ml-huong-cam-37467.html
00021992,Dung dịch uống A.T Calci Plus An Thiên hương cam cung cấp canxi cho cơ thể (30 ống x 10ml),An Thiên,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/at-calci-plus-an-thien-30-ong-x-10ml-huong-cam-22335.html
00016053,"Viên sủi Calci D-Hasan điều trị loãng xương, bổ sung Canxi và Vitamin D (18 viên)",Hasan,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calci-d-hasan-18vtube-14642.html
00022576,Siro giúp hỗ trợ hấp thụ canxi LineaBon K2+D3 ErgoPharm (10ml),ERGOPHARMA,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/lineabon-k2d3-ergopharm-10ml-tre-em-22902.html
00004135,Viên nhai KiddieCal Catalent bổ sung canxi và vitamin D (30 viên),Catalent,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/kiddieical-678mg-420.html
00046503,Chai xịt giúp hỗ trợ hấp thụ canxi LineaBon K2+D3 Ergopharma (10ml),ERGOPHARMA,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/lineabon-k2-d3-spray-ergopharma-10-ml.html
00033583,Siro bổ sung canxi khoáng chất chắc xương khoẻ khớp Vitabiotics Osteocare Liquid (200ml),Vitabiotics,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vitabiotics-osteocare-liquid-200-ml.html
00022043,"Thuốc Calcid Soft cung cấp Calci và Vitamin D, giúp xương chắc khỏe (10 vỉ x 10 viên)",Usa - Nic Pharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcid-soft-usa-nic-pharma-10x10-22385.html
00044720,Thuốc Bocalso NTB Pharma bổ sung canxi cho các trường hợp có nguy cơ thiếu canxi (6 vỉ x 5 ống),Hà Tây,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/bocalso-ntb-500-mg-hataphar-6-vi-x-5-ong.html
00039928,Viên sủi bổ sung calci và vitamin cho trẻ em Kudos Kids Multivitamins Plus Calcium & D3 hương dưa hấu (20 viên),KUDOS,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-sui-kudos-kids-multivitamins-plus-calcium-and-d3-huong-dua-hau-20-v.html
00005274,"Thuốc PM NextG Cal Probiotec bổ sung canxi, điều trị loãng xương (5 vỉ x 12 viên)",MBC,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/nextgcal-5x12-17034.html
00031556,"Viên sủi Calsource 600mg+ 400IU Vitamin D3 GSK phòng ngừa và điều trị thiếu canxi, vitamin D (10 viên)",Gsk,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calsourse-600mg400iu-vitamin-d3-sui-gsk-10v-31690.html
00013776,"Thuốc Caldihasan 1250mg/125IU Hasan phòng và điều trị thiếu hụt vitamin D, canxi (3 vỉ x 10 viên)",Hasan,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/caldihasan-hasan-3x10-15862.html
00007553,"Thuốc Trixlazi DaviPharm bổ sung canxi, magnesi, kẽm và Vitamin D3 (3 vỉ x 10 viên)",Davipharm,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/trixlazi-1911.html
00010190,Siro hỗ trợ tăng hấp thụ canxi Pediakid Vitamin D3 (20ml),Pediakid,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/pediakid-vitamin-d3-20ml-16499.html
00502917,Siro giúp tăng cường hấp thu canxi Ocean D3K2 Orzax (20ml),ORZAX,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/orzax-ocean-d3-k2-tri-khang-chai-20-ml.html
00043834,Thuốc Calvin Plus Biopharm phòng ngừa và điều trị thiếu vitamin D và thiếu canxi (10 vỉ x 6 viên),Biopharm,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calvin-plus-biopharm-10-x6.html
00049745,"Viên uống Ostelin Calcium & Vitamin D3 Sanofi giúp tăng hấp thụ canxi, duy trì xương và răng chắc khỏe (275 viên)",OSTELIN,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ostelin-calcium-and-vitamin-d3-sanofi-275-v.html
00008205,Siro Zedcal Meyer bổ sung canxi và thiếu hụt vitamin D3 (100ml),Meyer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/zedcal-100ml-1691.html
00032388,"Dung dịch uống Calcium Corbière Extra Sanofi bổ sung canxi, hỗ trợ điều trị loãng xương (3 vỉ x 10 ống x 10ml)",Sanofi,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcium-corbiere-extra-3-vi-x-10-ong-32519.html
00042070,"Thuốc Abricotis Probiotec hỗ trợ sức khỏe xương, cơ bắp, bổ sung canxi (6 vỉ x 10 viên)",Probiotec,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/abricotis-probiotec-6-x10.html
00029608,Dung dịch uống Calcolife 65mg/ml điều trị thiếu hụt canxi (20 ống x 10ml),23-9 Pharmaceutical,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcolife-65mg1ml-20-ong-x-10ml-29874.html
00027825,Dung dịch uống A.T Calmax 500 An Thiên bổ sung canxi (30 ống x 10ml),An Thiên,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/at-calmax-500-an-thien-pharma-27967.html
00001461,"Viên sủi Ca-C 1000 Sandoz bổ sung Vitamin C, Canxi (10 viên)",Sandoz,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/ca-c-1000-sandoz-4433.html
00040433,Chai xịt giúp tăng cường hấp thu canxi Dimao Pro Oral Spray D3 + K2 Valens (25ml),VALENS,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/dimao-pro-oral-spray-d3-k2-25-ml.html
00021417,Thuốc Boncium Gracure phòng và điều trị thiếu Canxi và Vitamin D3 (3 vỉ x 10 viên),Gracure,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/boncium-1250mg-gracure-3x10-21737.html
00020699,Thuốc Goncal 1.47/0.15 DaviPharm phòng ngừa và điều trị thiếu canxi (6 vỉ x 10 viên),Davipharm,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/goncal-147015-gonsa-6x10-21055.html
00029350,Siro Polcalmex Polfarmex vị dâu - phòng và điều trị thiếu canxi (150ml),Polfarmex,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/polcalmex-polfarmex-150ml-29786.html
00032963,Siro bổ sung vitamin D3 tăng cường hấp thụ canxi Brauer Baby & Kids Liquid Vitamin D 400IU (10ml),Brauer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/brauer-baby-kids-liquid-vitamin-d-400iu-chai-10ml-33080.html
00009528,Dung dịch uống Mumcal 500mg Phương Đông bổ sung Canxi cho phụ nữ mang thai (20 ống x 10ml),Phương Đông,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/mumcal-1576.html
00501615,"Dung dịch uống Palkids Apimed bổ sung vitamin, canxi, điều trị suy nhược cơ thể (20 ống x 10ml)",Apimed,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/palkids-apimed-20-ong-x-10-ml.html
00005644,"Viên nén Osteomed Meyer bổ sung canxi, Magne, kẽm, vitamin D3 và khoáng chất (2 vỉ x 15 viên)",Meyer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/osteomed-tablets-2744.html
00001500,Thuốc Calci - D Mekophar bổ sung calci (10 vỉ x 10 viên),Mekophar,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calci-mekophar-4427.html
00003907,"Thuốc Idéos 500mg/400IU Innotech bổ sung Vitamin D và Canxi, điều trị bệnh loãng xương (4 tuýp x 15 viên)",Innothera,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/ideos-17204.html
00033203,"Cốm Pha Hỗn Dịch Uống Meyer Vita DC điều trị và phòng ngừa thiếu vitamin D và canxi, loãng xương (20 gói)",Meyer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/com-pha-hon-dich-uong-meyer-vita-dc-hop-20-goi-x-5g-33315.html
00001513,"Dung dịch uống Calcium Stella Vitamin C, PP điều trị còi xương và bổ sung canxi (2 vỉ x 10 ống x 5ml)",Stella Pharm,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcium-5ml-4420.html
00001512,"Dung dịch uống Calcium Stella Vitamin C, PP điều trị còi xương và bổ sung canxi (3 vỉ x 8 ống x 10ml)",Stella Pharm,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcium-10ml-4421.html
00041798,"Viên nang mềm CalciumZindo USA NIC Pharma bổ sung canxi và vitamin D, phòng và điều trị loãng xương (12 vỉ x 5 viên)",Usa - Nic Pharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calciumzindo-usa-nic-12-x5-1.html
00043230,"Viên nhai giúp tăng chiều cao, giảm nguy cơ còi xương cho trẻ em Borne Mineral New Nordic (120 viên)",NEW NORDIC,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-nhai-ho-tro-su-phat-trien-xuong-cho-tre-em-borne-mineral-new-nordic-120-v.html
00500119,"Viên uống giúp xương và răng chắc khỏe, giảm nguy cơ loãng xương Dr. Caci Ocavill (60 viên)",OCAVILL,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ho-tro-giam-nguy-co-loang-xuong-drcaci-ocavill-60v-34202.html
00030512,"Viên uống giúp răng xương chắc khỏe, tăng chiều cao, giảm còi xương Bawod Calcium Plus (60 viên)",Hdpharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-chac-khoe-xuong-baywod-calcium-plus-hd-pharma-60-vien-30660.html
00345430,"Viên uống giúp xương chắc khỏe, duy trì sức khoẻ hệ xương Calcium Magnesium Zinc Nature's Bounty (100 viên)",Nature's Bounty,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-canxi-magie-kem-1.html
00045381,Viên uống hỗ trợ tốt cho não và tim mạch Omexxel Ginkgo 120 Premium (60 viên),OMEXXEL,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-nao-ginkgo-120-premium-omexxel-60-v.html
00043050,Nước Yến Sào Cao Cấp Nunest Relax Đông Trùng Hạ Thảo 5% Yến (6 chai x 185ml),Nunest,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-relax-dong-trung-ha-thao-5-yen-6-chai-x-185-ml.html
00043051,Nước Yến Sào Cao Cấp Nunest Đông Trùng Hạ Thảo 15% Yến (6 hũ x 70ml),Nunest,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-dong-trung-ha-thao-15-yen-6-hu-x-70-ml.html
00045385,"Siro bổ sung chất xơ, tăng cường sức đề kháng cho trẻ KID GROW Kenko (100ml)",KENKO,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/siro-tang-cuong-suc-de-khang-va-chieu-cao-cho-tre-kid-grow-kenko-100-ml.html
00049347,Cốm vi sinh bổ sung lợi khuẩn đường ruột Lacto Biomin Gold+ New (20 gói x 5g),Hdpharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/com-vi-sinh-bo-sung-loi-khuan-duong-ruot-lacto-biomin-gold-new-hdpharma-20-goi-x-5-g.html
00045954,"Viên uống bổ sung vitamin và khoáng chất cho cơ thể, tăng sức khỏe Immuvita Easylife (100 viên)",EASYLIFE,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-vitamin-va-khoang-chat-easylife-immuvita-100-v.html
00019020,"Siro hỗ trợ bổ sung các vitamin, giúp ăn ngon, tăng cường tiêu hóa Ăn Ngon - Bé Khỏe BBear (4 vỉ x 5 ống)",Thành Công,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/an-ngon-tieu-hoa-khoe-bbear-thanh-cong-4x5-20314.html
00032918,"Viên uống giúp giảm đau khớp, khô khớp, bổ sung chất nhờn dịch khớp Glucosamine And Chondroitin Jpanwell (120 viên)",Jpanwell,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/glucosamine-and-chondroitin-jpanwell-120v-33040.html
00345353,"Viên uống giúp tóc chắc khỏe, đẹp tóc, hạn chế rụng tóc Hair Volume New Nordic (30 viên)",NEW NORDIC,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/hair-volume-vien-uong-duong-toc-102.html
00047373,"Viên vai gáy Abipha giảm đau nhức vai gáy, cơ xương khớp, tăng cường lưu thông khí huyết (3 vỉ x 10 viên)",Abipha,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/vien-vai-gay-abipha-3-x10.html
00021575,"Dung dịch uống Gadacal Hà Tây bổ sung Calci, Lysin và các Vitamin (20 ống x 10ml)",Hà Tây,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/gadacal-200mg-hataphar-20-ong-x-10ml-21932.html
00001431,"Thuốc Briozcal Bridge Healthcare dự phòng và điều trị thiếu hụt calci, vitamin D3 (3 vỉ x 10 viên)",Bridge Healthcare,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/briozcal-4452.html
00031070,"Dung dịch uống Calcium - NiC Plus bổ sung, phòng ngừa thiếu Canxi (20 ống x 10ml)",Usa - Nic Pharma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/calcium-nic-plus-20-ong-x-10ml-31225.html
00006007,"Cốm Plurivica NadyPhar phòng ngừa, điều trị thiếu vitamin và canxi (80g) ",Nadyphar,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/plurivica-80-2577.html
00049615,"Thực phẩm bảo vệ sức khỏe Corbiere Calcium Plus Sanofi giúp bổ sung calci, vitamin D3 (3 vỉ x 10 ống)",Sanofi,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/corbiere-calcium-plus-sanofi-3-x10-ong.html
00001637,Viên sủi C-Calci OPC phòng và điều trị tình trạng thiếu Vitamin C và Calci (10 viên),Opc,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/c-calci-1000mg-4368.html
00051047,"Viên uống bổ sung Vitamin và khoáng chất, giúp tăng đề kháng Nature's Way Complete Daily Multivitamin(Hộp 200 viên)",Nature's way,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-bo-sung-vitamin-va-khoang-chat-giup-tang-de-khang-nature-s-way-complete-daily-multivitamin-200-v.html
00038887,Nước Yến Sào Cao Cấp Cho Trẻ Em Nunest Kid Vị Chuối (6 hũ x 70ml),Nunest,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-cho-tre-em-nunest-kid-vi-chuoi-6-hu-x-70-ml.html
00039823,"Nước Yến Sào Cao Cấp Nunest Relax - Ngủ Ngon, Giảm Căng Thẳng Mệt Mỏi (6 hũ x 70ml)",Nunest,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/nuoc-yen-sao-cao-cap-nunest-relax-ngu-ngon-giam-cang-thang-met-moi-6-hu-x-70-ml.html
00500357,Viên uống cung cấp vitamin và khoáng chất cho phụ nữ chuẩn bị mang thai Premom Gold Jpanwell (60 viên),Jpanwell,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ho-tro-phu-nu-truoc-khi-mang-thai-premom-gold-jpanwell-60v-34461.html
00018614,Viên nén Natecal D3 Italfarmaco điều trị và phục hồi thiếu vitamin D (60 viên),Italfarmaco,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/natecal-d3-italfarmaco-60v-19932.html
00040292,"Viên uống bổ sung acid folic, kẽm, vitamin cho phụ nữ có kế hoạch mang thai proMUM New Start (2 vỉ x 15 viên)",proMUM,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuc-pham-chuc-nang/vien-uong-ho-tro-phu-nu-truoc-khi-mang-thai-promum-new-start-2-x15.html
00018672,"Thuốc Arbol-100 Olive Healthcare dùng trong hạ canxi máu, suy tuyến cận giáp (3 vỉ x 10 viên)",Olive Healthcare,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/arbol-100-olive-3x10-19981.html
00005790,Dung dịch uống Pecaldex Nadyphar bổ sung canxi cho trẻ em chậm lớn (18 ống),Nadyphar,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/pecaldex-5ml-2670.html
00004924,"Dung dịch tiêm Miacalcic Novartis ngừa mất xương cấp tính, điều trị bệnh Paget, tăng canxi máu ác tính (5 ống)",Novartis,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/miacalcic-inj-50iuml-3008.html
